Part     Value            Package          Library                 Position (mil)        Orientation
IC2      NUF2221W1        SOT363_PHILIPS   NUF2221W1               (1225 1412.5)         R0
IC3      CJ125_32         TQFP32-08        cj125                   (312.5 937.5)         R0
IC4      FGB3056_F085(NC) TO263            FGB3056_F085            (1518.75 1137.5)      MR0
IC5      MP2359           SOT23-6          MP2359                  (562.5 143.75)        R180
IC7      ESD5V3U4RRS      SOT363_INFINEON  ESD5V3U4RRS             (1275 950)            R270
IC8      ESD5V3U4RRS      SOT363_INFINEON  ESD5V3U4RRS             (1168.75 950)         R90
IC9      CP2102           MLP28            silabs                  (1228.125 1225)       R270
IC10     TC4424AVOA713    SO-08            mcp14e10                (1650 1162.5)         R0
IC11     TC4424AVOA713    SO-08            mcp14e10                (1450 1162.5)         R0
IC13     MPXH6400AC6T1    MPXH6400         MPXH6400                (1535.43307 452.46063) MR90
IC14     ATMEGA328P-AU    TQFP32-08        atmel                   (362.5 506.25)        R180
JP1                       2X07             pinhead                 (800 650)             R270
JP2                       2X03             pinhead                 (1562.5 100)          R0
L1       Cmi201209u2r2kt  FB603            dp_devices              (1368.75 1400)        R90
L4       LQH32CN4R7M23L   R1210            LQH32CN4R7M23L          (731.25 193.75)       R90
LED1     blau             SML0603          led                     (1231.25 43.75)       R0
LED2     rot              SML0603          led                     (1231.25 131.25)      R180
LED3     gruen            SML0603          led                     (1231.25 87.5)        R180
Q1       AO3400A          SOT23            transistor-small-signal (350 1400)            R0
Q2       AO3400A          SOT23            transistor-small-signal (100 1350)            R0
Q3       AO3400A          SOT23            transistor-small-signal (125 1600)            R0
Q4       AO3400A          SOT23            transistor-small-signal (225 1400)            R0
Q5       AO3400A          SOT23            transistor-small-signal (725 1181.25)         R0
Q6       AO3400A          SOT23            transistor-small-signal (850 1181.25)         R0
Q7       AO3400A          SOT23            transistor-small-signal (600 1325)            R0
Q8       AO3400A          SOT23            transistor-small-signal (475 1400)            R0
Q9       AO3400A          SOT23            transistor-small-signal (131.25 1787.5)       R270
Q10      AO3400A          SOT23            transistor-small-signal (1637.5 1787.5)       R90
R1       1k               R0402            rcl                     (1137.5 43.75)        R180
R2       4k7              R0402            rcl                     (350 1256.25)         R0
R3       100k             R0402            rcl                     (350 1300)            R180
R4       1k               R0402            rcl                     (631.25 400)          R0
R5       100k             R0402            rcl                     (556.25 43.75)        R180
R6       1k               R0402            rcl                     (612.5 818.75)        R180
R7       4k7              R0402            rcl                     (31.25 1687.5)        R270
R8       1k               R0402            rcl                     (600 1437.5)          R0
R9       100k             R0402            rcl                     (1700 975)            R0
R10      47R(NC)          R0805            rcl                     (1618.75 1075)        MR90
R11      10k              R0402            rcl                     (68.75 850)           R0
R12      10k              R0805            rcl                     (1037.5 1400)         R90
R13      1k               R0402            rcl                     (956.25 856.25)       R180
R14      10k              R0805            rcl                     (956.25 1400)         R90
R15      47R              R0805            rcl                     (1437.5 1400)         R90
R16      4k7              R0402            rcl                     (475 1256.25)         R0
R17      100k             R0402            rcl                     (475 1300)            R180
R18      1k               R0402            rcl                     (643.75 993.75)       R180
R19      10k              R0402            rcl                     (1181.25 1056.25)     R270
R20      10k              R0402            rcl                     (1137.5 1056.25)      R270
R21      10k(NC)          R0402            rcl                     (1350 175)            R0
R22      100k             R0402            rcl                     (31.25 1781.25)       R90
R23      B72530V1140S262  CT/CN1210        varistor                (68.75 112.5)         R270
R24      47R              R0805            rcl                     (1706.25 1400)        R90
R25      4k7              R0402            rcl                     (1737.5 1687.5)       R270
R26      100k             R0402            rcl                     (1737.5 1781.25)      R270
R27      1k               R0402            rcl                     (1737.5 287.5)        R270
R28      1k               R0402            rcl                     (1093.75 1187.5)      R90
R29      1k               R0402            rcl                     (1093.75 1056.25)     R270
R30      1k               R0402            rcl                     (956.25 725)          R0
R31      10k              R0402            rcl                     (1343.75 43.75)       R0
R32      1k               R0402            rcl                     (1268.75 1056.25)     R90
R33      10k              R0402            rcl                     (1737.5 75)           R90
R34      2k4              R0402            rcl                     (612.5 906.25)        R180
R35      2k4              R0402            rcl                     (956.25 918.75)       R180
R36      100k             R0402            rcl                     (1425 950)            R90
R37      39k              R0402            rcl                     (106.25 387.5)        R0
R38      100k             R0402            rcl                     (1500 975)            R0
R39      47R              R0805            rcl                     (1543.75 1400)        R90
R40      2k4              R0402            rcl                     (606.25 1081.25)      R0
R47      10k              R0402            rcl                     (106.25 431.25)       R180
R48      10k              R0402            rcl                     (987.5 493.75)        R270
R49      4k7              R0402            rcl                     (112.5 1206.25)       R0
R50      100k             R0402            rcl                     (131.25 1256.25)      R180
R51      4k7              R0402            rcl                     (225 1256.25)         R0
R52      100k             R0402            rcl                     (1650 931.25)         R180
R53      1k               R0402            rcl                     (1325 131.25)         R0
R54      1k               R0402            rcl                     (1325 87.5)           R0
R55      100k             R0402            rcl                     (225 1300)            R180
R56      4k7              R0402            rcl                     (725 1037.5)          R0
R57      9k53 1%          R0603            rcl                     (550 256.25)          R0
R58      49k9 1%          R0603            rcl                     (450 231.25)          R90
R59      100k             R0402            rcl                     (725 1081.25)         R180
R60      4k7              R0402            rcl                     (850 1037.5)          R0
R61      100k             R0402            rcl                     (850 1081.25)         R180
R62      4k7              R0402            rcl                     (600 1181.25)         R0
R63      100k             R0402            rcl                     (600 1225)            R180
R69      4k7              R0402            rcl                     (1093.75 1293.75)     R270
R73      39k              R0402            rcl                     (175 312.5)           R90
R78      4k7              R0402            rcl                     (87.5 1475)           R270
R79      6k8              R0402            rcl                     (31.25 1550)          R270
R80      100k             R0402            rcl                     (137.5 1475)          R90
R102     300/1%           R0603            rcl                     (81.25 768.75)        R180
R103     61R9             R0603            rcl                     (112.5 1112.5)        R180
R104     10k              R0402            rcl                     (68.75 981.25)        R0
R105     31k6/1%          R0603            rcl                     (81.25 706.25)        R180
R107     100k             R0402            rcl                     (368.75 1162.5)       R180
R108     100k             R0402            rcl                     (537.5 1075)          R270
R109     4k7              R0402            rcl                     (537.5 968.75)        R270
R110     470k             R0402            rcl                     (68.75 1025)          R180
SJ3                       SJ_2             jumper                  (1444.76439 1629.94464) MR240
SJ4                       SJ_2             jumper                  (581.25 1287.5)       MR180
U$1      MAX9926QS0P16    QSOP16           max9926                 (975 1225)            MR0
U$4      X322516MLB4SI    X322516MLB4SI    X322516MLB4SI           (631.25 587.5)        R270
U$7      34P              34P              34p                     (885.82677 1909.15354) R180
U$8      X322516MLB4SI    X322516MLB4SI    X322516MLB4SI           (950 231.25)          R270
